restaurant_id,restaurant_name,city,locality,latitude,longitude,restaurant_type,cuisines,top_selling_dish,distance_from_city_center_km,opening_time,closing_time,operating_days_per_week,seating_capacity,swiggy_rating,swiggy_total_reviews,zomato_rating,zomato_total_reviews,average_rating_both_platforms,customer_sentiment_score,avg_cost_per_person_inr,price_category,swiggy_delivery_fee_inr,zomato_delivery_fee_inr,swiggy_avg_delivery_time_minutes,zomato_avg_delivery_time_minutes,avg_prep_time_minutes,swiggy_platform_commission_pct,zomato_platform_commission_pct,swiggy_discount_frequency_pct,zomato_discount_frequency_pct,swiggy_estimated_monthly_orders,zomato_estimated_monthly_orders,monthly_order_growth_pct,weekend_order_uplift_pct,repeat_customer_pct,online_order_share_pct,swiggy_estimated_monthly_revenue_inr,zomato_estimated_monthly_revenue_inr,swiggy_estimated_net_profit_inr,zomato_estimated_net_profit_inr,swiggy_market_share_pct,zomato_market_share_pct,platform_performance_better,amenities,amenities_count,seating_capacity_note,loyalty_program,sustainability_packaging_rating,has_own_website,has_own_app,food_license_verified,year_established,listing_date,days_listed,rating_difference,revenue_difference,profit_difference,total_monthly_revenue,total_monthly_profit,total_monthly_orders,average_delivery_time
REST000001,Tandoor House,Chennai,Velachery,13.11092,80.16023,Cloud Kitchen,Fast Food; Continental,Fries,0.5,08:00,24:00,7,0,4.0,1480,3.7,706,3.85,70,310,Mid-Range,15,22,18,19,13,20.1,21.9,5,21,252,341,5.8,21,54,82,78120,105710,60545,80083,42.5,57.5,Zomato Better,Live Music; Vegan Options; Alcohol; AC; Parking; Smoking Area,6,"Delivery-only, no seating",True,4,False,False,False,2021,2024-09-17,671,0.2999999999999998,-27590,-19538,183830,140628,593,18.5
REST000002,Copper Deck,Delhi,Mayur Vihar,28.80022,77.12131,QSR (Quick Service),Thai,Thai Basil Fried Rice,5.4,09:00,23:00,7,114,3.9,3025,4.1,3100,4.0,79,146,Budget,41,41,23,27,30,15.7,26.9,18,11,367,487,3.8,60,42,66,53582,71102,43815,50416,43.0,57.0,Zomato Better,Bar; WiFi; Parking,3,Dine-in available,False,2,False,False,True,2014,2019-08-17,2529,-0.19999999999999973,-17520,-6601,124684,94231,854,25.0
REST000003,The Fast House,Ahmedabad,Satellite,22.99754,72.49951,Casual Dining,Fast Food,Cheese Sandwich,6.0,12:00,23:00,7,42,3.9,877,4.2,1350,4.05,79,650,Mid-Range,38,45,23,32,11,20.4,25.5,28,5,176,179,11.6,24,50,82,114400,116350,88331,84080,49.6,50.4,Swiggy Better,Vegan Options; Rooftop; Dessert Bar; Private Room,4,Dine-in available,False,2,False,False,True,2018,2023-06-06,1140,-0.30000000000000027,-1950,4251,230750,172411,355,27.5
REST000004,Urban Bowl,Chennai,Perambur,13.04,80.27945,Cafe,Korean; Cafe,Korean Fried Chicken,5.1,11:00,23:00,7,41,4.6,1390,4.8,735,4.7,100,551,Mid-Range,44,35,24,27,22,16.2,18.1,8,30,266,270,17.7,39,67,97,146566,148770,119138,118187,49.6,50.4,Balanced,AC; Rooftop; Dessert Bar; Parking,4,Dine-in available,False,2,False,False,True,2016,2018-10-16,2834,-0.20000000000000018,-2204,951,295336,237325,536,25.5
REST000005,Golden Kitchen Co.,Mumbai,Lower Parel,19.13642,72.94463,Food Truck,Seafood,Prawn Curry,17.6,09:00,21:00,7,0,4.6,768,4.8,1678,4.7,91,311,Mid-Range,98,101,41,48,14,17.4,21.4,25,22,207,312,0.4,45,61,69,64377,97032,51580,73979,39.9,60.1,Zomato Better,Outdoor Seating; Dine-in,2,"Delivery-only, no seating",False,5,False,True,False,2016,2019-01-27,2731,-0.20000000000000018,-32655,-22399,161409,125559,519,44.5
REST000006,The Street Deck,Lucknow,Rajajipuram,26.85238,80.902,Cloud Kitchen,Street Food,Momos,6.2,10:00,23:00,7,0,4.2,3342,4.1,1225,4.15,73,481,Mid-Range,45,50,31,27,29,20.7,21.5,28,15,429,190,-3.6,53,59,89,206349,91390,158726,69589,69.3,30.7,Swiggy Better,Live Music; Family Friendly; Vegan Options; Bar; Rooftop,5,"Delivery-only, no seating",False,1,False,False,True,2019,2022-02-20,1611,0.10000000000000053,114959,89137,297739,228315,619,29.0
REST000007,Basil Bakery Republic,Chennai,Perambur,13.14542,80.2969,Cloud Kitchen,Bakery,Cheesecake,4.2,11:00,22:00,7,0,4.5,1728,4.3,1112,4.4,85,344,Mid-Range,34,32,22,25,21,19.1,18.8,25,7,291,250,-5.8,33,61,64,100104,86000,78555,67737,53.8,46.2,Swiggy Better,Vegan Options; Private Room; Takeaway; Bar; WiFi; Parking,6,"Delivery-only, no seating",False,1,True,False,True,2020,2023-06-21,1125,0.20000000000000018,14104,10818,186104,146292,541,23.5
REST000008,Zaffran Street Bowl,Kolkata,Salt Lake,22.52381,88.42011,Food Truck,Street Food,Chaat,6.2,08:00,21:00,7,0,3.8,618,3.6,1524,3.7,78,178,Budget,46,40,34,30,28,26.3,25.2,17,14,257,178,5.6,18,28,83,45746,31684,32703,22989,59.1,40.9,Swiggy Better,Rooftop; AC,2,"Delivery-only, no seating",True,3,False,False,True,2022,2026-04-07,104,0.19999999999999973,14062,9714,77430,55692,435,32.0
REST000009,Urban Tadka,Mumbai,Mulund,19.10863,72.84891,QSR (Quick Service),Biryani,Mutton Biryani,6.1,09:00,24:00,7,59,4.7,1399,4.5,875,4.6,90,193,Budget,50,43,36,25,16,20.7,15.8,7,23,411,253,6.2,48,70,96,79323,48829,61016,39881,61.9,38.1,Swiggy Better,Parking; Outdoor Seating; Smoking Area,3,Dine-in available,True,3,False,False,True,2020,2023-11-10,983,0.20000000000000018,30494,21135,128152,100897,664,30.5
REST000010,Saffron Mexican Cellar,Delhi,Connaught Place,28.79486,77.07015,Cloud Kitchen,Mexican,Tacos,4.6,08:00,22:00,7,0,4.1,708,4.1,572,4.1,82,193,Budget,38,38,25,26,24,16.8,16.9,24,10,262,218,7.6,19,42,60,50566,42074,40809,33915,54.6,45.4,Swiggy Better,Alcohol; Family Friendly; AC; Dine-in; Dessert Bar,5,"Delivery-only, no seating",True,2,False,True,True,2017,2022-04-13,1559,0.0,8492,6894,92640,74724,480,25.5
REST000011,The Street House,Delhi,Malviya Nagar,28.6516,77.12125,QSR (Quick Service),Street Food; Biryani,Momos,3.1,11:00,24:00,7,91,4.0,1095,3.9,2385,3.95,78,287,Budget,30,39,24,19,22,20.1,19.9,7,23,343,323,20.2,8,46,66,98441,92701,76295,72026,51.5,48.5,Swiggy Better,WiFi; Alcohol; Smoking Area,3,Dine-in available,False,3,True,False,True,2016,2021-02-09,1987,0.10000000000000009,5740,4269,191142,148321,666,21.5
REST000012,The Vegan Cafe,Jaipur,Mansarovar,26.89636,75.8498,Cloud Kitchen,Vegan,Vegan Wrap,16.0,12:00,23:00,7,0,4.0,1175,4.4,639,4.2,86,392,Mid-Range,89,85,45,48,21,15.7,21.6,6,19,188,248,8.2,35,51,63,73696,97216,60262,73931,43.1,56.9,Zomato Better,Smoking Area; Takeaway; Dine-in; WiFi; Rooftop; Parking,6,"Delivery-only, no seating",False,1,False,False,True,2022,2023-06-26,1120,-0.40000000000000036,-23520,-13669,170912,134193,436,46.5
REST000013,Bamboo House,Hyderabad,Kondapur,17.36692,78.60082,Cloud Kitchen,Cafe; Japanese,Pancakes,15.6,12:00,23:00,7,0,3.8,811,3.6,1228,3.7,79,330,Mid-Range,88,81,41,48,24,26.1,15.1,13,23,309,309,8.5,28,40,74,101970,101970,73095,83975,50.0,50.0,Zomato Better,Smoking Area; WiFi; AC; Parking; Vegan Options; Dessert Bar; Takeaway,7,"Delivery-only, no seating",False,4,False,False,True,2015,2018-12-25,2764,0.19999999999999973,0,-10880,203940,157070,618,44.5
REST000014,The Desserts Cellar,Kolkata,Dum Dum,22.61008,88.32688,Casual Dining,Desserts; Bakery,Kulfi,20.9,10:00,23:00,7,65,4.3,887,4.5,1538,4.4,84,925,Premium,106,98,46,52,10,16.1,24.3,7,30,216,351,13.1,20,63,59,199800,324675,162603,238406,38.1,61.9,Zomato Better,Smoking Area; Bar; AC; Dessert Bar; Outdoor Seating; Vegan Options; Takeaway,7,Dine-in available,False,1,False,False,True,2022,2022-04-01,1571,-0.20000000000000018,-124875,-75803,524475,401009,567,49.0
